Job ID Naukri,Job Title,Company Name,Required Skills,Website Link,Posted on,Job Description,Experience Required,Salary,Job Location,Employment Type
090124009856,Digital Marketing Manager,Priniti Foods,"Digital Marketing,Internet Advertising,Online Branding,Mobile Marketing,Website Promotion,Internet Marketing,Online Lead Generation,Email Marketing",www.naukri.com/job-listings-digital-marketing-manager-priniti-foods-pvt-ltd-sonipat-haryana-3-to-6-years-090124009856,09/01/2024,"Qualification: any graduation  Ltd. is a renowned name in the field of Namkeen & Food Items With exquisite taste,impeccable quality and competitive prices,we have entrenched ourselves as one of the most preferred manufacturers of Indian Traditional Namkeen and Food Items such as Potato Chips,Puffs,Rings,Sticks,Namkeen,Rusk,Noodles,Popcorn etc Experience: 3Y 6Y",3-6 Yrs,3.5-4.25 Lacs PA,Sonipat/Sonepat,"Full Time, Permanent"
080124005318,Graphic Designer/Digital Marketing,Statfree,"Illustrator,Adobe Photoshop,Kol Management,Be creative,Editing,copy writer,chat reply,Ads management",www.naukri.com/job-listings-graphic-designer-digital-marketing-statfree-private-limited-chennai-tamil-nadu-0-to-2-years-080124005318,08/01/2024,"Fresher also can apply,BCom - Any Specialization,BBA,BSC Computer science,BA Economics,MBA,MCom,BBM,MPhil,Diploma in marketing, Preferred candidate profile .",3-6 Yrs,Not disclosed,Chennai,"Full Time, Permanent"
270723008100,Digital Marketing Executive,RG Interiors,"Digital Marketing,SEO,Digital Advertising,Internet Marketing,Digital Campaigns,Google AdWords,SEM,Search Engine Marketing",www.naukri.com/job-listings-digital-marketing-executive-rg-interiors-new-delhi-delhi-delhi-ncr-0-to-2-years-270723008100,08/01/2024,"Create & Manage Social Media AD Campaigns.
Create Attractive Posts and Promote it on our Official Pages using Canva or other tools.
Create & Manage Websites or Blogs along with SEM and SEO.
Working Knowledge of MS Excel.",0-2 Yrs,1.25-2 Lacs PA,"Delhi NCR, Delhi","Full Time, Permanent"
210723003904,Digital Marketing Executive (English Efficient),Opal Infotech,"seo executive,sem executive,smo executive,seo smo executive,search engine optimization executive,online marketing executive,digital marketing executive,seo content writer",www.naukri.com/job-listings-digital-marketing-executive-english-efficient-opal-infotech-ahmedabad-0-to-1-years-210723003904,08/01/2024,Fresher with Good Command over English can apply We are looking for Digital Marketing Executives with Good English Efficiency Confirm Interview date and time on +91-7990944341 / 9408758797 We are looking for Digital Marketing Executives with Good English Efficiency,0-1 Yrs,Not disclosed,Ahmedabad,"Full Time, Permanent"
130723009366,Digital Marketing Executive,Opal Infotech,"seo executive,sem executive,smo executive,seo smo executive,search engine optimization executive,online marketing executive,digital marketing executive,seo content writer",www.naukri.com/job-listings-digital-marketing-executive-opal-infotech-ahmedabad-0-to-1-years-130723009366,08/01/2024,We are looking for Digital Marketing Executives with Good English Efficiency. Content and On-page SEO preferred. Confirm Interview date and time on +91-7990944341/9408758797We are looking for Digital Marketing Executives with Good English Efficiency. Content and On-page SEO preferred. Confirm Interview date and time on +91-7990944341/9408758797Best As per the Industry Standard,0-1 Yrs,Not disclosed,Ahmedabad,"Full Time, Permanent"
090623009538,Digital Marketing Executive,Opal Infotech,"search engine optimization executive,seo executive,sem executive,Digital Marketing,online marketing executive,digital marketing analyst,seo analyst,content writer",www.naukri.com/job-listings-digital-marketing-executive-opal-infotech-ahmedabad-0-to-1-years-090623009538,08/01/2024,Launching optimized online advertisements to increase company and brand awareness Good English Efficiency,0-1 Yrs,Not disclosed,Ahmedabad,"Full Time, Permanent"
080124001195,Digital Marketing Executive,Inxee Systems,"Communication Skills,Time Management,Blogs,Canva,Multitasking,Campaigns,Social Media Marketing,Marketing Communication",www.naukri.com/job-listings-digital-marketing-executive-inxee-systems-private-limited-gurugram-haryana-0-to-1-years-080124001195,08/01/2024,"Freshers can also apply.
Hands-on email campaigns, Blogs, social media campaigns, events, creatives for official website, Content writing, Communication skills.",0-1 Yrs,2-2.5 Lacs PA,Gurgaon,"Full Time, Permanent"
080124005597,Digital Marketing Specialist,Blendco Global,"Digital Marketing,Online Branding,Internet Marketing,Google AdWords,Social Media Marketing,Linkedin Ads,Search Engine Optimization,Brand Marketing",www.naukri.com/job-listings-digital-marketing-specialist-blendco-global-gurugram-haryana-1-to-4-years-080124005597,08/01/2024,"Your input can help ensure that the visuals and multimedia content created are not only aesthetically pleasing,but also effective at conveying the intended message Strong analytical skills and experience with social media analytics tools",1-4 Yrs,2.5-3 Lacs PA,Gurgaon,"Full Time, Permanent"
080124000935,Digital marketing Specialist (content+digital),Zavenir Daubert,"Content Creation,Digital Marketing,Campaign Management,Content Marketing,Brand Campaigns,Online Marketing,Email Marketing,Social Media Marketing",www.naukri.com/job-listings-digital-marketing-specialist-content-digital-zavenir-daubert-gurugram-haryana-3-to-6-years-080124000935,08/01/2024,"Page 1 of 2     JOB DESCRIPTION   Job title:  Deputy Manager - Brand and Digital Marketing Department:  Marketing Reports to:  CEO Location:  Head Office    1. About ZavenirZavenir is a premier manufacturer of specialty chemicals with a vision to achieve leadership position in corrosion protection and metal working fluids over the next few years. We have been serving the Indian Market with products and solutions built through our technical collaborations with Daubert and Kluthe, complemented with our own core values of Integrity, Speed, Dependability, and Innovation. By market share in India, we are No 1 company in the VCI business & No 2 in Rust Preventive Oils business. Why join us?  The human mind and spirit are any organization's greatest resource, we do not believe any differently. Our employees are continuously motivated and developed to integrate excellence in every business process to strive for higher levels of satisfaction for customers, for the company and in their individual pursuits.  We offer a wide range of exciting career opportunities for those who seek a challenging, fast-paced, results-oriented environment where individual contributions are recognized and rewarded. Our business is growing, and we need brilliant people to keep winning. If you have a strong bias for action and enjoy working in a fast paced, innovative, and collaborative environment, then Zavenir is the place to work for you! Zavenir is an equal opportunity employer. We evaluate qualified applicants without regard to race, religion, gender, age, marital status, disability, veteran status, sexual orientation, gender identity, or any other characteristic protected by law.  2. Job Duties & Responsibilities Corporate   Brand &   Product   Communication To develop external design agencies and build suitable brochures, the company website, charts, displays, banners, etc. To develop, maintain and upgrade a harmonious design platform throughout companys collaterals, documents, presentations, signages etc. Developing and monitoring strategies and tactics to boost the companys reputation through marketing and drive qualified traffic. Creating story boards stitching together briefs of several campaigns that are run. Develop strategies and tactics to get the word out about our company and drive qualified traffic to our front door. Experiment with a variety of organic and paid acquisition channels like content creation, content curation, pay per click campaigns, event management, publicity, social media, lead generation campaigns, copywriting, performance analysis. Build strategic relationships and partners with key industry players, agencies, and vendors. Prepare and monitor the marketing budget on a quarterly and annual basis and allocate funds wisely. Measure and report on the performance of marketing campaigns, gain insight and assess against goals. Analyze consumer behavior and adjust email and advertising campaigns accordingly. Developing creatives for below the line activities like exhibition, shows, events and in field promotions.  4. Candidate profile Education B. Tech/B.E. degree (Mechanical /Chemical /production engineering)/MBA Work experience 4- 6 years working experience in relevant marketing support in B2B Marketing Functional   & behavioural   competencies Strong knowledge of marketing techniques and tools.  Awareness of competitive products and strategies. Good Presentation and communication skills. Strong functional acumen and project management skills Ability to work under pressure to meet deadlines. Problem solving ability Key Competencies   Growth mindset  Clarity of thought Result orientation  People orientation           This document is the property of Zavenir Daubert India Private Limited and is internal only. Any distribution of the same in whole or part is prohibited except by Authorized Personnel Only.",3-6 Yrs,11-13 Lacs PA,Gurgaon,"Full Time, Permanent"
090124005879,Digital Marketing Specialist/ Sr. Executive/Executive,Dharampal Satyapal Group (DS Group),"Media Marketing,Digital Agency,Website Administration,Performance Marketing,Web technologies,Digital marketing,Media,Digital",www.naukri.com/job-listings-digital-marketing-specialist-sr-executive-executive-dharampal-satyapal-group-ds-group-noida-uttar-pradesh-3-to-5-years-090124005879,09/01/2024,Job Profile :- Day to day coordination with Digital & Media agencies for digital and media activities for brand. Developing and Managing all brand's ATL and digital campaigns. Review New Technologies and keep the company at the forefront of developments in digital marketing. Managing Websites Assist in Annual Digital & ATL Media Plan Age Group :- Max 30 Years Old,3-5 Yrs,Not disclosed,Noida,"Full Time, Permanent"
080124005372,"SEO / SMO, Digital Marketing Executive, SEO Intern, SEO Fresher, MBA",AKS Websoft Consulting,"Digital Marketing Executive,Social Media Optimization,Search Engine Optimization,SEO,SEO Expert,SEO Analysis,intern seo,Link Building",www.naukri.com/job-listings-seo-smo-digital-marketing-executive-seo-intern-seo-fresher-mba-aks-websoft-consulting-noida-new-delhi-delhi-ncr-0-to-5-years-080124005372,08/01/2024,"Implement SEO/SMO strategies effectively.    Manage digital marketing campaigns.    Craft SEO-friendly content and optimize websites for search engines.
Must have done course from any reputed institute.
Knowledge of SEO, SMO, SEM required",0-5 Yrs,Not disclosed,"Delhi NCR, Delhi, Noida(Sector-62 Noida)","Full Time, Permanent"
070124001178,Digital Marketing & Social Media Expert,Vijay Laxmi Music,"Digital Marketing,Creative,Social Media,Social Media Marketing,Design Skills,Marketing,Design,Media marketing",www.naukri.com/job-listings-digital-marketing-social-media-expert-vijay-laxmi-music-patna-bihar-0-to-2-years-070124001178,07/01/2024,Graduate or relevant education in digital marketing,0-2 Yrs,Not disclosed,Patna,"Full Time, Permanent"
090124009066,Digital Marketing Manager,Live Times,"Paid Marketing,Performance Marketing,SMO,Internet Marketing,Online Marketing,Google AdWords,Facebook Marketing,Social Media Marketing",www.naukri.com/job-listings-digital-marketing-manager-live-times-noida-uttar-pradesh-4-to-7-years-090124009066,09/01/2024,"An Individual with 4 to 7 years of experience in handling campaigns on social handles like Meta (FB, Instagram), Twitter & YouTube. . Should know about audience targeting, keyword selection, and basic marketing knowledge . An added knowledge of Google would be a plus. . Should have a good communication skill . Basic understanding of Canva",4-7 Yrs,4-6 Lacs PA,Noida,"Full Time, Permanent"
080124001333,Digital Marketing Manager,Girma Consulting,"Digital Marketing,Social Media Marketing,Leadership Skills,Crm Tool,Adobe Creative Suite,Online Branding,Online Advertising,Internet Marketing",www.naukri.com/job-listings-digital-marketing-manager-girma-consulting-gurugram-haryana-6-to-11-years-080124001333,08/01/2024,"Experience: 6- 15 Years enhancements to the user experience  MBA in Marketing with 6+ years of experience in digital marketing domain Prior experience working on marketing software (Adobe Creative Suite & CRM),applications such",6-11 Yrs,Not disclosed,Gurgaon,"Full Time, Permanent"
080124002878,HCL Hiring || Digital Marketing Manager || Hyderabad,HCLTech,"Google AdWords,Digital Marketing Manager,Management,Marketing,Hiring,Google,Digital,Digital marketing",www.naukri.com/job-listings-hcl-hiring-digital-marketing-manager-hyderabad-hcltech-hyderabad-telangana-5-to-10-years-080124002878,08/01/2024,"Operations Manager/Deputy Manager - Digital Marketing Experience - 5+ Years Time Zone - 24*7 Skill set required - Must have -  5+ years experience as a Deputy or Ops Manager Preferably in domains such as Inside Sales, IB / OB sales Good to have -  Understanding of AdWords, Ad Trafficking' & Campaign management Responsibilities - Ensure the SLAs are met as defined by the client Close monitoring of queues and work allocation as per the analyst skill set Identify the training needs wherever required 1-on-1s to be driven diligently Drive performance improvement initiatives & Ideation Close monitoring on shrinkage and attrition Ensure to keep high team morale Proactively flag the red alerts Ability to resolve conflicts between the team members Always on top of numbers such as TRT, TAT, CSAT & Utilization Delegating the tasks and lead by example Motivate and keep positive attitude in the team Client connects and understanding their requirements Ability to work independently on RCAs, WBR & MBRs Showcase high work ethics Proactively manage client escalations and ensure deliverables are processed within defined timelines Identify the team members interests and suggest relevant career path Ensure team proactively participate in RnRs and team building activities Should be willing to work in a 24x7 set up Interested candidates can share profile at shikha.tanwar@hcl.com with below required details -  Total Experience -  Relevant Experience in Digital Marketing -  Experience as Digital Marketing Manager -  CCTC -  ECTC -  N.P -  Comfortable with 24*7 shift -",5-10 Yrs,Not disclosed,Hyderabad(Kokapet),"Full Time, Permanent"
090124005542,Digital Marketing Executive,Career Management Center,"Proficiency in SEO & SMO,social media management,and result-driven digital marketing strategies.,content creation,data analysis,Management,Media management,Marketing Strategies",www.naukri.com/job-listings-digital-marketing-executive-career-management-center-delhi-ncr-0-to-2-years-090124005542,09/01/2024,"Seeking a Digital Marketing Executive proficient in SEO & SMO. Responsible for optimizing online content, implementing strategies to enhance website visibility, and driving social media engagement for effective brand promotion.",0-2 Yrs,1-2 Lacs PA,Delhi NCR,"Full Time, Permanent"
090124010228,Digital Marketing Executive / BDE,Elevation Hr Llp,"Lead Generation,Client Relationship Management,Affiliate Marketing,Online Lead Generation,Email Campaign,International Marketing,Email Marketing,Marketing",www.naukri.com/job-listings-digital-marketing-executive-bde-elevation-hr-llp-gurugram-haryana-0-to-1-years-090124010228,09/01/2024,"On boarding of international/India publishers affiliates to run campaigns, negotiation, campaign activity, affiliate budget, relationships with publishers, new client acquisition, payment follow-ups, integration with the clients. Strong Communication",0-1 Yrs,2-2.25 Lacs PA,Gurgaon,"Full Time, Permanent"
080124501253,Digital Marketing Executive,Truliyo Digital,"HR Associate,PPC,PDF,Senior HR Executive,Online marketing,Social media,SEO,Digital marketing",www.naukri.com/job-listings-digital-marketing-executive-truliyo-digital-gurgaon-gurugram-1-to-3-years-080124501253,08/01/2024,Create and manage Facebook ads campaigns . Monitor and optimize ad performance to ensure maximum ROI .   1-3 years of experience in Facebook advertising or digital marketing Experience with other social media platforms and digital marketing channels is a plus,1-3 Yrs,Not disclosed,Gurgaon,"Full Time, Permanent"
080124002129,Digital Marketing Executive,Span Technology Services,"SEO,Digital Marketing,Social Media Marketing,Social Media Optimization,Search Engine Optimization,Media,Social media,Optimization",www.naukri.com/job-listings-digital-marketing-executive-span-technology-services-coimbatore-tamil-nadu-1-to-3-years-080124002129,08/01/2024,Qualifications:  . Any candidate who has a bachelors degree can apply,1-3 Yrs,2-4 Lacs PA,Coimbatore,"Full Time, Permanent"
080124501271,Digital marketing executive,Accurate Risk Managers And Insurance Brokers,"Social media,Formulation,Broadcasting,Brand awareness,Product marketing,Monitoring,Digital Marketing Executive,Digital marketing",www.naukri.com/job-listings-digital-marketing-executive-accurate-risk-managers-and-insurance-brokers-pune-1-to-3-years-080124501271,08/01/2024,C . andidates should hold an experience of 1-3 years for this vacancy Experience,1-3 Yrs,Not disclosed,Pune,"Full Time, Permanent"
080124006385,Digital Marketing Executive (Paid Media Channels),Legend Footwear,"digital marketing,Paid Media,Paid Advertising Campaigns,Online Marketing,Performance Marketing,PPC,Ecommerce Marketing,Google Analytics",www.naukri.com/job-listings-digital-marketing-executive-paid-media-channels-legend-footwear-london-uk-2-to-3-years-080124006385,08/01/2024,"Three extra monitors with a minimum screen size of 24 inches  Minimum Requirements   To ensure a seamless work experience,the following workspace requirements must be met  Good with Data Analysis  Willingness to install an IP camera that provides live video and audio feed of your workplace during working hours",2-3 Yrs,6-10 Lacs PA,Remote,"Full Time, Permanent"
080124003843,Digital Marketing Executive,Novum Global Consultancy Pte Ltd,"Content Creation,Digital Marketing,SEO,Marketing Strategy,Appstore,Social Media Marketing,Marketing Analytics,Media",www.naukri.com/job-listings-digital-marketing-executive-novum-global-consultancy-pte-ltd-bengaluru-1-to-5-years-080124003843,08/01/2024,Preferred candidate profile . - Strong command of English (written and spoken). - Ability to think out of the box and is a highly creative individual.  . - Motivated and a fast self-learner. - Ability to work alone and in a team as well as deliver on KPIs. - Pleasant personality. - Experience in the financial services sector would be a huge bonus,1-5 Yrs,2-5 Lacs PA,Hybrid - Bengaluru,"Full Time, Permanent"
080124003243,Digital Marketing Executive,Aeonx Digital Solutions Pvt Ltd (Group co of Ashapura Industries),"Marketing Campaigns,Digital Marketing,Social Media Marketing,SEO,Digital Campaigns,Marketing,Media,Digital",www.naukri.com/job-listings-digital-marketing-executive-aeonx-digital-solutions-pvt-ltd-group-co-of-ashapura-industries-mumbai-all-areas-2-to-4-years-080124003243,08/01/2024,"Establish the end-to-end digital marketing capabilities and strategy that aligns with the needs and goals of the businesses. Lead the implementation of these capabilities, such as media planning and buying, search, conversion rate optimization and data and analytics to support future business growth. Working alongside Senior Stakeholders, Digital Team, and business unit Marketing leaders, establish a best of breed approach to the use of marketing technology. Work closely with the Digital Product team to ensure that the marketing technology strategy aligns with the organization's broader digital strategy and efforts Lead the analytics and reporting function in digital campaigns with a focus on optimization. Develop and lead the implementation of the longer-term data and analytics capability, in consultation with the relevant marketing and business leaders. Establish best practices around the use of data and analytics to inform marketing, campaign effectiveness, and lead our overall approach to use of digital marketing agencies. End to  End organization of Physical events in various locations as per the goals of the company. Send out newsletters to various sets of databases regularly. Coordinating with our OEMs SAP & AWS so produce yearly business plan and having cadence meetings with them to ensure that the company is on the right track. Coordinating with our sales team in different regions and produce a marketing plan that supports their needs. Updating the website with relevant content regularly. Writing case studies and blogs.",2-4 Yrs,Not disclosed,Mumbai (All Areas),"Full Time, Permanent"
060124004801,Digital Marketing Manager/Officer/Executive,Bhima Jewellery Madurai,"Social Media Marketing,Digital Marketing,SEM,Search Engine Marketing,seo,Media,Media marketing,Search engine",www.naukri.com/job-listings-digital-marketing-manager-officer-executive-bhima-jewellery-madurai-madurai-tamil-nadu-tirunelveli-tamil-nadu-tiruchirapalli-tamil-nadu-3-to-6-years-060124004801,06/01/2024,"Role & responsibilities    Digital marketing  can help jewelry brands reach their target audiences and increase sales . Some digital marketing tactics include:  Search engine optimization (SEO)Optimizing your website for search engines can help you generate traffic and raise brand awareness. Search engine marketing (SEM)Purchasing ads on search engines can help you generate traffic to your website. Social mediaBuilding a social media presence can help you drive awareness, loyalty, and sales. However, social media marketing is a long-term strategy that requires the right content, timing, and target audience. Email marketingEmail marketing is a cost-effective way to engage with customers, contact new leads, and share important information.",3-6 Yrs,Not disclosed,"Trichy, Tirunelveli, Madurai","Full Time, Permanent"
090124000160,Digital Marketing Manager(Remote),Kaizen Empire,"PPC,Google Ads,Paid Media,Keyword Analysis,Google Analytics,Keyword Research,Digital Campaigns,Google AdWords",www.naukri.com/job-listings-digital-marketing-manager-remote-kaizen-empire-united-states-usa-5-to-10-years-090124000160,09/01/2024,"Continuously oversee and optimize product listings using strong knowledge of keyword research,Amazon Algorithm research,and product search rankings to ensure maximum exposure of our product Across the channel  Bachelors degree in marketing,advertising,or related field  Monitor and analyze keyword performance to ensure maximum return on investment  Required Qualifications",5-10 Yrs,Not disclosed,Remote,"Full Time, Permanent"
090124008149,Digital Marketing Manager,Orient Spectra Consulting,"Marketing Strategy,Paid Advertising Campaigns,Lead Generation,SEO,Performance Marketing,AdWords,Social Media Marketing,Marketing management",www.naukri.com/job-listings-digital-marketing-manager-orient-spectra-consulting-himayathnagar-telangana-8-to-12-years-090124008149,09/01/2024,"We are looking for a 8+ Years of Digital Marketing Manager to develop, implement, track and optimize our digital marketing campaigns across all digital channels. What does a Digital Marketing Manager do? You should have a strong grasp of current marketing tools and strategies and be able to lead integrated digital marketing campaigns from concept to execution. Digital marketing managers will work to launch campaigns on time and on budget. Responsibilities Plan and execute all digital marketing,      including SEO/SEM, marketing database, email, social media and display      advertising campaigns Design, build and maintain our social      media presence Measure and report performance of all      digital marketing campaigns, and assess against goals (ROI and KPIs) Identify trends and insights, and      optimize spend and performance based on the insights Brainstorm new and creative growth      strategies Plan, execute, and measure experiments      and conversion tests Collaborate with internal teams to create      landing pages and optimize user experience Utilize strong analytical ability to      evaluate end-to-end customer experience across multiple channels and      customer touch points Instrument conversion points and optimize      user funnels Collaborate with agencies and other      vendor partners Evaluate emerging technologies. Provide      thought leadership and perspective for adoption where appropriate Requirements and skills Proven working experience in digital      marketing Demonstrable experience leading and      managing SEO/SEM, marketing database, email, social media and/or display      advertising campaigns Highly creative with experience in      identifying target audiences and devising digital campaigns that engage,      inform and motivate Experience in optimizing landing pages      and user funnels Solid knowledge of website analytics      tools (e.g., Google Analytics) Experience in setting up and optimizing      Google Adwords campaigns Strong analytical skills and data-driven      thinking Up-to-date with the latest trends and      best practices in online marketing and measurement. Thank You HR Team.",8-12 Yrs,Not disclosed,"Himayathnagar, Telangana","Full Time, Permanent"
080124006281,Digital Marketing Manager,Eternal Hightech,"Lead Generation,Ppc Marketing,SEO EXPERT,Content Strategy,B2B Marketing,B2C Marketing,Brand Promotion,Wordpress Development",www.naukri.com/job-listings-digital-marketing-manager-eternal-hightech-pune-maharashtra-mumbai-all-areas-4-to-9-years-080124006281,08/01/2024,"Experience in FB / IG Paid Campaigns,PPC,Google Ads and LinkedIn Campaigns . Monitor and engage in relevant social discussions about our company,competitors,and/ or industry,both from existing leads and customers as well as from brand new audiences . Track,measure,and analyse all initiatives to report on social media ROI. .",4-9 Yrs,3.25-6 Lacs PA,"Pune, Mumbai (All Areas)","Full Time, Permanent"
080124002618,Digital Marketing Manager,Suraksha Diagnostics,"Digital Campaigns,Social Media Marketing,SEO,website analys,Video Editing,Ecommerce Marketing,Digital Media,google analytics",www.naukri.com/job-listings-digital-marketing-manager-suraksha-diagnostics-kolkata-5-to-8-years-080124002618,08/01/2024,Qualifications :  . Graduation with Mathematics / Economics  Post graduation in Marketing from reputed institute  Preferred candidate profile  Good knowledge of website analytics tools (eg,5-8 Yrs,5-8 Lacs PA,Kolkata(New Town),"Full Time, Permanent"
