Job ID TimesJob,Job Title,Company Name,Required Skills,Website Link,Posted on,Job Description,Experience Required,Job Location
69786207 ,Digital Marketing job in Canada / Australia / Singapore  / Malta,"Imran
     (More Jobs)","digitalmarketing,OnlineMarketing,seoexecutive,searchengineoptimizer,seoexpert,seniorseoanalyst,GoogleAnalytics,SocialMediaMarketing,EmailMarketing",https://www.timesjobs.com/job-detail/digital-marketing-job-in-canada-australia-singapore-malta-wolseley-canada-inc-australia-canada-hong-kong-new-zealand-singapore-1-to-3-yrs-jobid-qjJ1InxiyZhzpSvf__PLUS__uAgZw==&source=srp,06/01/2024,"Job Description:
A digital marketing coordinator implements and manages a companys online marketing efforts. A digital marketing coordinator s duties are organizing social media sites ,  creat... More Details",1 - 3 yrs,"Australia,  Canada,  Hong Kong,  New Zealand,  Singapore"
69611426 ,Digital Marketing Specialist  ( AI SaaS Products - Dynamic Pricing ),sciative solutions,"digitalmarketing,competitoranalysis,marketresearch,smm,campaigns,socialmediamarketing,segmentation,seo,socialmedia,performancemarketing,emailmarketing,website,marketingautomation,marketing",https://www.timesjobs.com/job-detail/digital-marketing-specialist-ai-saas-products-dynamic-pricing-sciative-solutions-navi-mumbai-2-to-3-yrs-jobid-wDs5buItHoVzpSvf__PLUS__uAgZw==&source=srp,09/01/2024,"Job Description:
As a Digital Marketing Specialist ,  you will be responsible for designing and executing comprehensive digital marketing strategies to promote our AI dynamic pricing product i... More Details",2 - 3 yrs,Navi Mumbai
69609012 ,Assistant Manager  /  Sr. Executive - Marketing,Paradigm Realty,"digitalmarketing,marketing,marketingprograms",https://www.timesjobs.com/job-detail/assistant-manager-sr-executive-marketing-paradigm-realty-mumbai-4-to-5-yrs-jobid-qVDefOobyiFzpSvf__PLUS__uAgZw==&source=srp,08/01/2024,"Job Description:
Market PositioningPerforms annual assessment and defines annual marketing planDevice Marketing Strategies for Services ,  Markets and Customers as per need of the hourMarketin... More Details",4 - 5 yrs,Mumbai
68792156 ,Digital Marketer,INFINITY GROUP,"digitalmarketing,emailmarketing,website,onlinemedia,marketing,marketingcampaigns,searchengineoptimization,campaigns,seo,socialmedia",https://www.timesjobs.com/job-detail/digital-marketer-infinity-group-delhi-delhi-ncr-2-to-4-yrs-jobid-7J3BVy30__SLASH__OZzpSvf__PLUS__uAgZw==&source=srp,07/01/2024,"Job Description:
Qualfication GraduateExperience 2yrs Skills As per JD mentioned below. Job | Digital Marketer | 05 days / week | Location: Sector 3 ,  Rohini ,  Delhi | Salary: 2 to 4Lacs / A... More Details",2 - 4 yrs,"Delhi,  Delhi/NCR"
69539090 ,Head Of Marketing,alliance recruitment agency,"marketingbudget,digitalmarketing,marketresearch,marketingcampaigns,strategydevelopment,campaigns,regionalmarketing,contentmarketing,seo,socialmedia,emailmarketing,marketingautomation,marketing,marketinginitiatives",https://www.timesjobs.com/job-detail/head-of-marketing-alliance-recruitment-agency-anand-ahmedabad-bengaluru-bangalore-5-to-7-yrs-jobid-gW5umBei2JBzpSvf__PLUS__uAgZw==&source=srp,09/01/2024,"Job Description:
Key Responsibilities:- Develop and implement marketing strategies that drive brand awareness ,  customer acquisition ,  and retention- Development of eNewsletters ,  promotion... More Details",5 - 7 yrs,"Anand,  Ahmedabad,  Bengaluru / Bangalore"
69649226 ,Content Strategy Lead - Mirum Digital Pvt. Ltd.,Mirum india,"contentstrategy,contentcuration&assessment,marketinganalytics&customerinsights,customerexperiencemanagement,contentanalytics,digitalmarketing,medical,contentmarketing,marketingautomation,webanalytics,googleanalytics",https://www.timesjobs.com/job-detail/content-strategy-lead-mirum-digital-pvt-ltd-mirum-india-mumbai-7-to-10-yrs-jobid-w__SLASH__4114TAbtxzpSvf__PLUS__uAgZw==&source=srp,08/01/2024,"Job Description:
Content Strategy Lead Mumbai TechPosted Date 04 Aug 2023Location MumbaiDepartment TechFunction StrategyPositions 1Position Summary:This role will be responsible for defining t... More Details",7 - 10 yrs,Mumbai
69611429 ,Marketing Manager  ( AI SaaS Products - Dynamic Pricing ),sciative solutions,"digitalmarketing,salesenablement,branding,marketingcampaigns,campaigns,searchenginemarketing,socialmediamarketing,seo,emailmarketing,website,digitalanalytics,marketingautomation,marketing,marketinginitiatives,displayadvertising",https://www.timesjobs.com/job-detail/marketing-manager-ai-saas-products-dynamic-pricing-sciative-solutions-navi-mumbai-1-to-3-yrs-jobid-G1__SLASH__dzRpyOWJzpSvf__PLUS__uAgZw==&source=srp,09/01/2024,"Job Description:
We are seeking a talented and experienced Marketing Manager to join our team. As a Marketing Manager for our AI SaaS products ,  you will be responsible for overseeing brandin... More Details",1 - 3 yrs,Navi Mumbai
69409823 ,Marketing Analyst  ( PPC ),SolutionInn,"digitalmarketing,branding,campaigns,socialmediamarketing,webmaster,marketingstrategy,ppc,website,googleadwords,marketing,marketinginitiatives,webanalytics,googleanalytics,marketinganalyst",https://www.timesjobs.com/job-detail/marketing-analyst-ppc-solutioninn-pakistan-3-to-6-yrs-jobid-wpaYYbzCd0lzpSvf__PLUS__uAgZw==&source=srp,07/01/2024,"Job Description:
We are looking for a Marketing Analyst to help support overall marketing strategy and operations at SolutionInn. You will anticipate and analyze the conversion funnel performa... More Details",3 - 6 yrs,Pakistan
69786197 ,Urgent opening for finance marketing in Canada / Australia,"Imran
     (More Jobs)","Financemerkeing,Tally,Tds,Accounting,Accountant,assistantaccountant,seoexecutive,searchengineoptimizer,seoexpert,seniorseoanalyst,DigitalMarketing",https://www.timesjobs.com/job-detail/urgent-opening-for-finance-marketing-in-canada-australia-scotiabank-australia-canada-germany-new-zealand-singapore-1-to-6-yrs-jobid-v__SLASH__xgYZ8TS59zpSvf__PLUS__uAgZw==&source=srp,06/01/2024,"Job Description:
Assess characteristics of products or services to be promoted to determine marketing and advertising needs of an establishmentAdvise clients on marketing ,  advertising or sal... More Details",1 - 6 yrs,"Australia,  Canada,  Germany,  New Zealand,  Singapore"
69161852 ,Account Management and Client Servicing,GreenHonchos Solutions Pvt. Ltd.,"digitalmarketing,socialmediamanagement,AccountManagement,ClientServicing",https://www.timesjobs.com/job-detail/account-management-and-client-servicing-greenhonchos-solutions-pvt-ltd-noida-greater-noida-0-to-3-yrs-jobid-QoAp4hSj281zpSvf__PLUS__uAgZw==&source=srp,06/01/2024,"Job Description:
Job Responsibilities: Management of Accounts.Client Relationship  managing daily deliverables ,  monitor progress and meet deadlinesIn-depth understanding of Digital and Socia... More Details",0 - 3 yrs,Noida/Greater Noida
69611133 ,General Manager  Marketing,CoWrks,"digitalmarketing,branding,campaignmanagement,campaigns,atl,socialmediamarketing,brandpositioning,gtm,brandcampaigns,competitoranalysis,mediabuying,segmentation,btl,contentmarketing,seo,socialmedia,strategicmarketing,website,marketing",https://www.timesjobs.com/job-detail/general-manager-marketing-cowrks-bengaluru-bangalore-0-to-3-yrs-jobid-9Yxddy1vYyRzpSvf__PLUS__uAgZw==&source=srp,09/01/2024,"Job Description:
We are seeking a highly skilled and experienced General Manager for Marketing to join our team at COWRKS. In this role ,  you will be responsible for developing and implementi... More Details",0 - 3 yrs,Bengaluru / Bangalore
69786930 ,PAID MEDIA BUYER- DIGTIAL MEDIA,"A3 Hiring Pvt Ltd
     (More Jobs)","Advertising,BrandManagement,DigitalMarketing,SearchEngineMarketing,SocialMediaMarketing,OnlineMarketing",https://www.timesjobs.com/job-detail/paid-media-buyer-digtial-media-a3-hiring-pvt-ltd-mumbai-2-to-3-yrs-jobid-HtB6l0pYuixzpSvf__PLUS__uAgZw==&source=srp,09/01/2024,"Job Description:
Greetings of the Day !!!!!!!Job Profile -ROLE:- PAID MEDIA BUYER- DIGTIAL MEDIALocation -MumbaiExperience:Minimum of [3] years of experience in digital media buying ,  with a ... More Details",2 - 3 yrs,Mumbai
69161928 ,Content Writer,Trust Tech Solutions,"digitalmarketing,emailmarketing,marketing,webanalytics,marketingcollaterals,seo,socialmedia",https://www.timesjobs.com/job-detail/content-writer-trust-tech-solutions-cochin-kochi-ernakulam-0-to-3-yrs-jobid-fp5013sWuYBzpSvf__PLUS__uAgZw==&source=srp,06/01/2024,"Job Description:
Job Description:Update website content on a regular basis based on SEO best practices to generate traffic to our sitesCreate content for marketing emailsCreative  &  technical... More Details",0 - 3 yrs,Cochin/ Kochi/ Ernakulam
68987805 ,SEO Specialist,INFINITY GROUP,"digitalmarketing,socialmediamarketing,seo,socialmedia,seospecialist,website,integratedmarketing,trade,linkbuilding",https://www.timesjobs.com/job-detail/seo-specialist-infinity-group-delhi-delhi-ncr-3-to-6-yrs-jobid-6rx0rjZ9CJ9zpSvf__PLUS__uAgZw==&source=srp,07/01/2024,"Job Description:
Position: SEO SpecialistEducation: GraduationExperience: Min. 3 YearsIndustry Type: E-CommerceFunctional Area: Digital MarketingJob Location: Wazirpur ,  New DelhiDesired Cand... More Details",3 - 6 yrs,"Delhi,  Delhi/NCR"
69649227 ,Exp Design  &  Omnichannel  ( OC )  Orchestrator Lead - Mirum Digital Pvt. Ltd.,Mirum india,"experiencedesignomnichannelorchestratorcustomerjourneymappingchannelstrategymarketinganalytics,digitalmarketing,medical,marketresearch,brandstrategy,campaignmanagement,socialmedia,brandmanagement,marketingautomation,webanalytics,googleanalytics",https://www.timesjobs.com/job-detail/exp-design-omnichannel-oc-orchestrator-lead-mirum-digital-pvt-ltd-mirum-india-mumbai-8-to-11-yrs-jobid-SAU6JpB52R9zpSvf__PLUS__uAgZw==&source=srp,08/01/2024,"Job Description:
Exp Design  &  Omnichannel  ( OC )  Orchestrator Lead Mumbai TechPosted Date 04 Aug 2023Location MumbaiDepartment TechPositions 1Position Summary:This role will be responsible... More Details",8 - 11 yrs,Mumbai
69161926 ,SEO ANALYST,Trust Tech Solutions,"digitalmarketing,campaigns,searchengineoptimization,linkbuilding,googleanalytics,seoanalyst,seo,socialmedia",https://www.timesjobs.com/job-detail/seo-analyst-trust-tech-solutions-cochin-kochi-ernakulam-3-to-6-yrs-jobid-F9IrQb__SLASH__aD9tzpSvf__PLUS__uAgZw==&source=srp,06/01/2024,"Job Description:
Responsibilities:Conduct keyword research using various tools  ( like Keyword Planner and Moz ) Perform competitive analysis and identify gaps in our content or areas of impro... More Details",3 - 6 yrs,Cochin/ Kochi/ Ernakulam
69142331 ,Social Media Manager,INFINITY GROUP,"digitalmarketing,branding,contentstrategy,marketingcampaigns,smm,campaigns,socialmediamanager,socialmediamarketing,socialmedia,marketing,trade",https://www.timesjobs.com/job-detail/social-media-manager-infinity-group-delhi-delhi-ncr-3-to-6-yrs-jobid-5tJifK9BlChzpSvf__PLUS__uAgZw==&source=srp,07/01/2024,"Job Description:
Desired Candidate Skills: Responsible for - Planning ,  Strategizing ,   &  Marketing for increasing brand awareness for the companies entire product range and for driving bus... More Details",3 - 6 yrs,"Delhi,  Delhi/NCR"
69462929 ,Digital Analytics Analyst,IDP EDUCATION INDIA PVT LTD,"visualization,datamining,bi,dashboards,sql,datavisualization,dataanalysis,mobile,dataanalyst,tableau,analyst",https://www.timesjobs.com/job-detail/digital-analytics-analyst-idp-education-india-pvt-ltd-chennai-3-to-4-yrs-jobid-p__SLASH__Me__PLUS__YivNY9zpSvf__PLUS__uAgZw==&source=srp,09/01/2024,"Job Description:
An ASX100 business part that is owned by Australian universities ,  IDP is a pioneer in international educationservices. Our core business lines include student placement to A... More Details",3 - 4 yrs,Chennai
69786328 ,"Accountant  , Assistant Accountant","Rohit Singh
     (More Jobs)","Accountant,assistantaccountant,seoexecutive,searchengineoptimizer,seniorseoanalyst,DigitalMarketing,OnlineMarketing,businessdevelopmentexecutive",https://www.timesjobs.com/job-detail/accountant-assistant-accountant-oil-gas-jammu-poonch-bokaro-dhanbad-belgaum-1-to-6-yrs-jobid-T9wkTovFDyhzpSvf__PLUS__uAgZw==&source=srp,06/01/2024,"Job Description:
We are looking for an Accountant to manage all financial transactions ,  from fixed payments and variable expenses to bank deposits and budgets.Accountant responsibilities inc... More Details",1 - 6 yrs,"Jammu,  Poonch,  Bokaro,  Dhanbad,  Belgaum"
69610909 ,"Customer Success Manager ,  Digital Shelf",boomerang commerce,"revenuegrowth,retail,sales,salesoperations,marketshare,categorymanagement,customersuccess,manager,strategicdirection,marketing,management,build",https://www.timesjobs.com/job-detail/customer-success-manager-digital-shelf-boomerang-commerce-5-to-8-yrs-jobid-16eSCh__SLASH__FNXJzpSvf__PLUS__uAgZw==&source=srp,09/01/2024,"Job Description:
We are in hyper growth mode ,  having recently raised our Series D funding at unicorn valuation  ( >$1B )  and ended our third year of triple-digit revenue growth. Continued a... More Details",5 - 8 yrs,
69752400 ,Executive,Crazy Holidays,"presentationdesign,graphicdesign,videoediting,visualstorytelling,collaboration,digitalmarketing,branding,promotions,campaigns,promotionalevents,socialmedia",https://www.timesjobs.com/job-detail/executive-crazy-holidays-bengaluru-bangalore-1-to-4-yrs-jobid-cTnjyv__PLUS__rILtzpSvf__PLUS__uAgZw==&source=srp,07/01/2024,"Job Description:
Hey there ,  we're Crazy Holidays ,  and we're all about making travel experiences unforgettable. We're on the hunt for a creative Presentation and Design Specialist to join o... More Details",1 - 4 yrs,Bengaluru / Bangalore
69648098 ,Campaign Manager,HyreFox Consultants,"paidmarketingchannels,campaignmanagement,retargetingstrategies,adtracking,socialmediamarketing,digitalmarketing,campaignmanager,campaigns,seo,ppc,onlineadvertising",https://www.timesjobs.com/job-detail/campaign-manager-hyrefox-consultants-jaipur-1-to-3-yrs-jobid-JwIdvKcxGFZzpSvf__PLUS__uAgZw==&source=srp,07/01/2024,"Job Description:
We are looking for a creative Campaign Manager to plan ,  coordinate ,  implement and oversee various marketing and retargeting campaigns for us as well as our clients.He / Sh... More Details",1 - 3 yrs,Jaipur
69753156 ,Junior Visualizer - Mirum Digital Pvt. Ltd.,Mirum india,"graphicdesign,branding,motiondesign,marketingdesign,uidesign,brochures,photoshop,visualizer,visualdesign,composition,illustrator",https://www.timesjobs.com/job-detail/junior-visualizer-mirum-digital-pvt-ltd-mirum-india-delhi-ncr-2-to-4-yrs-jobid-rATKAxHyZ__PLUS__1zpSvf__PLUS__uAgZw==&source=srp,08/01/2024,"Job Description:
Junior Visualizer Delhi CreativePosted Date 06 Nov 2023Location DelhiDepartment CreativeFunction Arts and DesignPositions 1Experience 2 - 4 yearsExperience- 2-4yrsCreate digit... More Details",2 - 4 yrs,Delhi/NCR
69786214 ,Manager-Sales  &  Marketing,"om praksh
     (More Jobs)","BusinessDevelopmentManager,Sales&Marketing",https://www.timesjobs.com/job-detail/manager-sales-marketing-sjc-consultancy-ahmedabad-bengaluru-bangalore-delhi-ncr-pune-jaipur-10-to-15-yrs-jobid-RV5QInU9Q__PLUS__NzpSvf__PLUS__uAgZw==&source=srp,06/01/2024,"Job Description:
Job description:Position: Manager-Industrial Sales  &  Marketing  ( To Automotive /  Railways /  Shipbuilding Segments )   ( Leading MNC Manufacturing Co ) Role:- Ensuring sal... More Details",10 - 15 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Delhi/NCR,  Pune,  Jaipur"
69752403 ,Sales  &  Marketing Executive,Crazy Holidays,"sales&marketing,clientacquisition,relationshipmanagement,marketresearch,marketingstrategy,revenuegeneration,salesprocess,brandpromotion,negotiation,salespresentations,clientengagement,presentationskills,marketingactivities,marketinginitiatives,build,leadgeneration",https://www.timesjobs.com/job-detail/sales-marketing-executive-crazy-holidays-bengaluru-bangalore-2-to-5-yrs-jobid-dxMbX7OCJD1zpSvf__PLUS__uAgZw==&source=srp,07/01/2024,"Job Description:
Position: Sales  &  Marketing ExecutiveDepartment: Sales and MarketingLocation: Bangalore ,  IndiaReports To: Sales and Marketing ManagerJob Summary:As a Sales  &  Marketing E... More Details",2 - 5 yrs,Bengaluru / Bangalore
69166195 ,Digital Manager,Headhuntersinc consultancy Private Limited,"css,html5,tibcobw,docker,database,java,j2ee,phonegap,api,mongodb,sco,middleware,rdbms,mobile,javascript,leadershipskills,angularjs",https://www.timesjobs.com/job-detail/digital-manager-headhuntersinc-consultancy-private-limited-chennai-2-to-3-yrs-jobid-J2Ebl0TN1uxzpSvf__PLUS__uAgZw==&source=srp,09/01/2024,"Job Description:
Must be a problem solver with demonstrated experience in solving difficult technology challenges ,  with a can do attitude; possess strong leadership skills in guiding and dir... More Details",2 - 3 yrs,Chennai
69164527 ,Digital Sales Manager,HyreFox Consultants,"consultativeselling,manager,digitalsales,sales,market,presentation,marketintelligence,management,selling",https://www.timesjobs.com/job-detail/digital-sales-manager-hyrefox-consultants-jaipur-0-to-3-yrs-jobid-2wc4wVaK__SLASH__W9zpSvf__PLUS__uAgZw==&source=srp,08/01/2024,"Job Description:
RESPONSIBILITIES: Aggressively take in the advertisers from your current connections first and develop prospective and strategic clients in the main domains you already have g... More Details",0 - 3 yrs,Jaipur
68727390 ,Senior Digital Account Manager,mad about digital,"reports,reporting,accounts",https://www.timesjobs.com/job-detail/senior-digital-account-manager-mad-about-digital-bengaluru-bangalore-2-to-5-yrs-jobid-jdmuqPEBk__PLUS__5zpSvf__PLUS__uAgZw==&source=srp,07/01/2024,"Job Description:
The Senior Account Manager is responsible for the management ,  strategy and execution of client accounts. He / she will own the client relationship and will be responsible fo... More Details",2 - 5 yrs,Bengaluru / Bangalore
69784856 ,vice president Digital Transformation,"quest junction
     (More Jobs)","PeopleManagement,digitaltransformation,cloud,bigdata,iaas,paas,agile,CostAnalysisBudgeting,businesscases",https://www.timesjobs.com/job-detail/vice-president-digital-transformation-quest-junction-bengaluru-bangalore-delhi-ncr-hyderabad-secunderabad-mumbai-pune-15-to-20-yrs-jobid-Hk9__SLASH__DUyL1wJzpSvf__PLUS__uAgZw==&source=srp,09/01/2024,"Job Description:
Responsibilities and activities are varied ,  and include:Client Engagements:Lead ,  define ,  and design cloud infrastructure strategy and approach while developing and maint... More Details",15 - 20 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Hyderabad/Secunderabad,  Mumbai,  Pune"
68777090 ,Marketing Executive,alliance recruitment agency,"MarketingExecutive,MarketingResearch,MarketingStrategy",https://www.timesjobs.com/job-detail/marketing-executive-alliance-recruitment-agency-ahmedabad-1-to-3-yrs-jobid-Rp1Ijcxy__PLUS__uRzpSvf__PLUS__uAgZw==&source=srp,09/01/2024,"Job Description:
Sales Executive who will be responsible for bringing new business opportunities and providing prospective customers / clients with all services offered and additional presenta... More Details",1 - 3 yrs,Ahmedabad
69164559 ,Influencer Marketing,HyreFox Consultants,"marketing,campaigns,emergingtrends,technologies",https://www.timesjobs.com/job-detail/influencer-marketing-hyrefox-consultants-jaipur-0-to-3-yrs-jobid-GCJZzCUjsERzpSvf__PLUS__uAgZw==&source=srp,08/01/2024,"Job Description:
RESPONSIBILITIES:Develop and execute influencer marketing strategies and creative campaignsIdentify and build relationships with prominent influencers and thought leadersAtten... More Details",0 - 3 yrs,Jaipur
69725630 ,Marketing Executive,EDWISE INTERNATIONAL,"marketing,dataanalytics,eventmanagement,brandmanagement,marketanalysis,liaising,marketingdepartment",https://www.timesjobs.com/job-detail/marketing-executive-edwise-international-chandigarh-1-to-10-yrs-jobid-0TuF4AUihf1zpSvf__PLUS__uAgZw==&source=srp,09/01/2024,"Job Description:
Marketing ExecutiveFull TimeCHANDIGARHPosted 1 days agoJob Description:Overall in-charge of marketing function in the region.Leads and manages marketing department staff by pr... More Details",1 - 10 yrs,Chandigarh
69142340 ,Sales Marketing,INFINITY GROUP,"market,marketing,management,clientrelationship,selling,sales",https://www.timesjobs.com/job-detail/sales-marketing-infinity-group-delhi-delhi-ncr-2-to-4-yrs-jobid-gbERPzdBvYNzpSvf__PLUS__uAgZw==&source=srp,07/01/2024,"Job Description:
Desired Candidate Skills:- Self-motivated and driven by targets- Resilience- Strong communication skills  including both verbal and written- The ability to influence and negot... More Details",2 - 4 yrs,"Delhi,  Delhi/NCR"
69536551 ,Publisher Development Analyst,Epsilon,"messaging,writtencommunication,DigitalMedia",https://www.timesjobs.com/job-detail/publisher-development-analyst-epsilon-bengaluru-bangalore-2-to-4-yrs-jobid-vURR3ioFrI1zpSvf__PLUS__uAgZw==&source=srp,07/01/2024,"Job Description:
What You will DoCreate and deliver performance reporting to support publisher initiatives: Competitive / Gap analysis ,  Recruitment ,  Strategy development ,  Payment Reconci... More Details",2 - 4 yrs,Bengaluru / Bangalore
69464188 ,PPC Executive,COMMUNICATION CRAFTS,"performancemarketing,ppc,website,adwords,googleadwords,digitalmedia,campaigns,googleanalytics",https://www.timesjobs.com/job-detail/ppc-executive-communication-crafts-ahmedabad-0-to-3-yrs-jobid-IWppF__PLUS__cewj5zpSvf__PLUS__uAgZw==&source=srp,09/01/2024,"Job Description:
Qualifications / Skills:BSc / BA in Marketing ,  Digital Media or a related field; AdWords certification is a plusProven experience in managing PPC campaignsExperience in data... More Details",0 - 3 yrs,Ahmedabad
69724272 ,Asst. Mgr-Project Management - Automation  &  Digital,zf india pvt ltd,"automationprojectmanagement,technicalsolutions,processoptimization,businessrequirementsgathering,communicationskills,requirementgathering,solutiondesign",https://www.timesjobs.com/job-detail/asst-mgr-project-management-automation-digital-zf-india-pvt-ltd-chennai-3-to-8-yrs-jobid-qkcpvRT9kbxzpSvf__PLUS__uAgZw==&source=srp,07/01/2024,"Job Description:
What's Next? Join ZF! ZF is a global technology company supplying systems for passenger cars ,  commercial vehicles and industrial technology ,  enabling the next generation o... More Details",3 - 8 yrs,Chennai
69786589 ,"Marketing  &  Sales Manager , Marketing Executive","UNISTONE INTERIOR PVT LTD
     (More Jobs)",ARCHITECTVISITINGMARKETINGPERSON,https://www.timesjobs.com/job-detail/marketing-sales-manager-marketing-executive-unistone-interior-pvt-ltd-bengaluru-bangalore-mumbai-indore-jaipur-lucknow-4-to-9-yrs-jobid-a6JXap8sT95zpSvf__PLUS__uAgZw==&source=srp,08/01/2024,"Job Description:
ATTENTION ALL MARKETING ENTHUSIASTS VISTING ARCHITECTS ,  UNISTONEINVITES YOU FOR AN EXCITING CAREER PATHPosition: - Marketing ManagerJob Brief: - If you live and breathe buil... More Details",4 - 9 yrs,"Bengaluru / Bangalore,  Mumbai,  Indore,  Jaipur,  Lucknow"
